Year,Title,Abstract,Keywords
2000,encoding information fusion in possibilistic logic: a general framework for rational syntactic merging," the problem of merging multiple sources information is centralin many information processing areas such as databases integrating problems, multiple criteria decision making, expert opinion pooling, etc. recently, several approaches have been proposed to merge classical propositional bases, or sets of (non-prioritized) goals. these approaches are in general semantically defined. like in belief revision, they use priorities, generally based on dalal's distance,for merging the classical bases and return a new classical base as a result. an immediate consequence of the generation of a classical base is the impossibility of iterating the fusion process in a coherent way w.r.t. priorities since the underlying ordering is lost.this paper presents a general approach for fusing prioritized bases, both semantically and syntactically, when priorities are represented in the possibilistic logic framework. we show that the approaches which have been recently proposed for merging classical propositional bases can be embedded in this setting. the result is then a prioritized base, and hence the process can be coherently iterated. moreover, we also provide a syntactic counterpart for the fusion of classical bases. lastly, the paper briefly discusses rationality postulates for fusing prioritized information. "," uncertainty in ai, belief revision, fusion "
2000,kalman-like filtering and updating in a possibilistic setting, this paper proposes a qualitative counterpart of kalman filtering in the possibilistic logic setting. it corresponds to a type of updating involving a prediction step followed by a revision step. this is compared with updating operations based on imaging in the sense of lewis. imaging is reconsidered in the perspective of a generalized view of kalman filtering where it appears as a particular case of kalman filtering. a syntactic counterpart of qualitative filtering is given in terms of weighted knowledge bases. , uncertainty in ai 
2000,"iterated revision by epistemic states: axioms, semantics and syntax"," epistemic states are suitable to represent intelligent agent'sknowledge. this paper discusses iterated revision of epistemic statesby epistemic states from axiomatic, semantics and syntactic points ofview. we first propose a set of general postulates that such iteratedrevision operations should verify, independently from the epistemicstates representation.  we give a representation theorem for a classof revision operation by epistemic states called ""minimally-preservingmodels"" revision operators.  then, at the semantical level, we proposeto use polynomials for encoding epistemic states. we show that thisencoding makes easy the iteration of the revision process using simpleoperations on these polynomials.  lastly, we give an efficientimplementation of revision by epistemic states, when the later aresyntactically represented by prioritized knowledge bases. the revisionby epistemic states proposed in this paper generalizes (axiomatically,semantically and syntactically) iterated revision operations by (asingle and non-prioritized) formula, stemming from the principle ofstrong primacy of new information. "," belief revision, knowledge representation, nonmonotonic reasoning "
2000,declarative representation of revision strategies," in this paper we introduce a nonmonotonic framework for belief revision in which reasoning about the reliability of different pieces of information based on meta-knowledge about the information is possible, and where revision strategies can be described declaratively. the approach is based on a poole-style system for default reasoning in which entrenchment information is represented in the logical language. a notion of inference based on the least fixed point of a monotone operator is used to make sure that all theories possess a consistent set of conclusions. "," belief revision, nonmonotonic reasoning "
2000,compiling stratified belief bases," many coherence-based approaches to inconsistency handling withinpropositional belief bases have been proposed so far. they consistin selecting one or several preferred consistent subbases of thegiven (usually inconsistent) stratified belief base (sbb), thenusing classical inference from some of the selected subbases.unfortunately, deciding the corresponding inference relationsis typically hard from the computational complexity point of view.in this paper, we show how some knowledge compilation techniquesfor classical inference can be used to circumvent the intractabilityof such sophisticated inference relations. for several families ofcompiled sbbs and several selection policies, the complexity of skeptical inference is identified. interestingly, some tractablerestrictions are exhibited. ", automated reasoning 
2000,a conditional logic for iterated belief revision," in this paper we propose a conditional logic ibc for iterated belief revision.  we define an iterated belief revision system by strenghtening the postulates proposed by darwiche and pearl. first, following the line of darwiche and pearl, we modify agm postulates to make belief revision  a function of epistemic states rather than of belief sets.then we propose a set of postulates for iterated revision which, together with the (modified) agm postulates, entail darwiche and pearl's ones.the conditional logic ibc has a standard semantics in terms of selection function models and it provides a natural representation of epistemic states. ibc contains conditional axioms, corresponding to the postulates for iterated revision.we prove that gardenfors' triviality result does not apply to ibc. moreover, we provide a representation result, which establishes a one to one correspondence between iterated belief revision systems and ibc-models. "," knowledge representation, belief revision,, conditional logic "
2000,classical and general frameworks for recovery	," theory recovery is the process of restoring consistency of a theory with respect to some intended semantics.recently, a general framework for theory recovery has been developed using an intended and a backup semantics, where the latter is used to guide the recovery process.in this paper we establish some relationships between this recoveryframework and the well-known agm postulates for theory revision.we show that these agm revision postulates can be easily adapted totheory recovery and agm-style recovery can be embedded in the generalrecovery framework. we also generalize the postulates to deal with recovery of not necessarily closed theories and we show that the general framework specialised to classical intended semanticssatisfies these agm postulates. it turns out that the backup semantics used is a special cumulative, non-inclusive para-consistent semantics. finally, we generalize these agm postulates for recoveryto cases where the intended semantics does not need to be classical.we show that in such cases the postulates allow for recovery by expansions. "," belief revision, nonmonotonic reasoning		 "
2000,how to revise ranked probabilities," in this paper, we introduce and discuss a new framework for the modeling and revision of probabilistic belief. the epistemic states encode degrees of belief together with second-order uncertainty through special spohn-type ranking measures over subjective probability distributions. the revision strategy, which handles incoming information representable by linear probabilistic constraints, is based on modified jeffrey-conditionalization and information distance minimization procedures. "," belief revision, uncertainty in ai "
2000,an algorithm for adaptation in case-based reasoning," the adaptation process is an important and complex step ofcase-based reasoning (cbr) and is most of the time designed fora specific application. this article presents a domain-independentalgorithm for adaptation in cbr. cases are mapped to a set ofnumerical descriptors filled with values and local constraintintervals. the algorithm computes every target solution descriptorby combining a source solution, a matching expressed as variationintervals together with dependencies between the source problem andits solution. it determines for every target solution descriptor aninterval of the admissible values in which actual values satisfyingglobal constraints are fixed. this generic approach to adaptation isoperational and it introduces general and domain-independant adaptationoperators. this study contributes to the design of a general algorithmfor adaptation in cbr. ", case-based reasoning 
2000,focusing search by using problem solving experience ," case-based reasoning (cbr) aims at using experience from the past in order to guide future problem solvingrather than ""starting from scratch"" every time.we propose a cbr strategy particularly suitable for realizing this principle if heuristic search is used as a problem solving method: given a new problem, a cbr method exploits previously solved problems in order to predict a region of the search space which is (provably) probable to contain the solution. the efficiency of a search method applied afterwards for actually finding the solution is then improved by focusing on this region. our results provide a formal basis for the intuitively meaningful (even though not always justified) idea to concentrate on those parts of the search space where solutions to similar problems have already been found. the approach outlined in this paper either can be seen as one of cbr-supported heuristic search or asa formal framework of (search-oriented) cbr. "," case-based reasoning, search "
2000,similarity-based inference as evidential reasoning," we make use of a probabilistic model in order to formalize the basic assumption underlying case-based reasoning (cbr), suggesting that ""similar problems have similar solutions.""taking this model as a point of departure, we propose a similarity-guided inference scheme in which case-based evidence is represented in form of belief functions over the set of solutions,and in which the combination of evidence derived from individual cases is considered in the context of information fusion. our approach is meant to support the overall process of problemsolving by estimating the quality of potential solutions.besides, it reveals that probabilistic methods and relatedtechniques from the field of reasoning under uncertaintyprovide a convenient framework in which parts of the cbr methodology can be formalized. this framework seems particularly suitable since it allows for taking the heuristic and, hence, uncertain character of case-based problem solving into account. "," case-based reasoning, uncertainty in ai "
2000,competence-guided editing methods for lazy learning," lazy learning algorithms retain their raw training examples and defer all example-processing until problem solving time (eg, case-based learning, instance-based learning, and nearest-neighbour methods). for example, a case-based classifier will typically compare a new target query to every case in its case-base (its raw training data) before deriving a target classification. this can make lazy methods prohibitively costly for large training sets. one way to reduce these costs is to filter or edit the original training set, to produce a reduced edited set by removing redundant or noisy examples. in this paper we describe and evaluate a new family of hybrid editing techniques that combine many of the features found in more traditional approaches with new techniques for estimating the usefulness of training examples. we demonstrate that these new techniques enjoy superior performance when compared to traditional and state-of-the-art methods.  "," case-based reasoning, machine learning "
2000,picture perfect - visualisation techniques for case-based reasoning," case-based reasoning systems solve new problems by retrieving and adapting the solutions to similar previously solved problems. the success and performance of any case-based reasoning system depends critically on its repository of prior problem solving experiences, the cases in its case-base. it is perhaps surprising then that the case-based reasoning community has only recently begun to investigate new ways of intelligently supporting the authoring (and on-going maintenance) of evolving case-bases. in this paper we describe and evaluate a technique for visualising the cases in a case-base. we argue that such techniques have a vital role to play in helping authors to understand the structure of an evolving case-base and so improve the efficiency of the authoring process and the quality of the resulting case-bases. ", case-based reasoning 
2000,differentiating diagnostic theories through constraints over an eight-valued logic," in this paper we address the issue of diagnosing propositional theories where only some components are observable. more specifically, the goal is to find tests that allow the differentiation of two alternative theories. this subject is addressed in the context of differential diagnosis of faulty gates in a vlsi circuit where the only observable findings are its input/output bits, but may be extended to other areas, namely in diagnosing a theory of an agent where knowledge about it is based on its response to external stimuli.to model these problems we developed an eight-valued logic that describes the dependency of the findings on the competing theories. additionally, we implemented a constraint solver to handle this eight-valued logic domain, and to solve efficiently the problem of obtaining differentiating tests that allow the elimination of one of the alternative theories. we discuss the limitations of the currently more advanced techniques to handle disjunctive constraints, and propose a new method, iterative time-bounded search (itbs) to overcome them. the method is exemplified and tested in the problem of generating differential test patterns for digital circuits. "," constraint-based reasoning, diagnosis, constraint satisfaction, constraint programming, search "
2000,tractable sets of the generalized interval algebra," to offer a generic frame which groups together several interval algebra generalizations, we simply define a generalized interval as  a tuple of intervals. after introducing the generalized relationswe focus on the consistency problem of generalized constraint networks and we present sets of generalized relations for which this problem is tractable, in particular the set of the strongly-preconvex relations. "," interval algebra, generalized intervals, constraint networks, complexity "
2000,a formalization of structured temporal objects and repetition," we propose an approach to formally representing structured temporal objects. these new temporal objects are recursively made up of convex intervals and allen's convex relations. the major emphasis in our approach is on temporal repetition.to that effect we define the time loop. time loops allow usto abstract common elements in repetitive temporal patterns.a loop is parameterized by a cycle which is a structured temporal element possibly including subloops, a relationbetween instances of the cycle and a repetition factor or dimension. atemporal assertions are true during these temporalobjects, and thus this formalism allows one to concisely represent and reason with assertions which have an inherenttemporal structure. hence, this formalism allows one toconcisely represent,for example, the scheduling of regular meetings in a university, where a meeting may in turn becomposed of structured temporal elements.  "," knowledge representation, temporal reasoning "
2000,a property of path inverse consistency leading to an optimal pic algorithm," in constraint networks, the efficiency of a search algorithm is strongly related to the local consistency maintained during search.for a long time, it has been considered that forward checking was the best compromise between the pruning effect and the amount of overhead involved. but recent works, comparing the search algorithms on a large range of networks, show that maintaining arc consistency during search (mac) outperforms forward checking on large and hard problems. it is conceivable that on very difficult instances, using an even more pruningful local consistency may pay off. to know which local consistency is the most promising, a study comparing both theirpruning efficiency and the time needed to achieve them has been done [de97]. this work shows that pic1, the path inverse consistency algorithm presented in [fe96], has very bad average and worst case time complexities.  in this paper, we give a property of pic and we propose and evaluate a pic algorithm based on this property that has an optimal worst case time complexity. experiments show that maintaining pic during search outperforms mac on hard sparses cns. ", constraint satisfaction 
2000,a framework for dynamic constraint reasoning using procedural constraints," many complex real-world decision problems, such as planning, containan underlying constraint reasoning problem.  the feasibility of asolution candidate then depends on the consistency of the associatedconstraint problem instance.  the underlying constraint problems areinvariably dynamic, as higher level decisions result in variables andconstraints being added and removed.  there is also no limit on thetypes of constraints that may arise in the constraint network, asthey depend on the domain to which the system is being applied. additionally, real-world problems often have constraints overcontinuous variables.  such applications therefore present a number ofsignificant challenges for a constraint reasoning mechanism.in this paper, we introduce a general framework for handling dynamicconstraint networks with real-valued variables, by using procedures torepresent and effectively reason about general constraints.  thisframework is based on a sound theoretical foundation.  additionally,the framework provides hybrid reasoning capabilities, as alternativesolution methods like mathematical programming can be incorporatedinto the framework, in the form of procedures. "," constraint satisfaction, planning "
2000,on the limit of branching rules for hard random unsatisfiable 3-sat," we study the limit of branching rules in davis-putnam (dp) procedure for hard random unsatisfiable 3-sat and try to answer the question: what would be the search tree size if every branching variable were the best possible? the issue is of practical interest because many efforts have been spent for designing better branching rules. our experimental results suggest that the branching rules used in the current state-of-the-art dp procedures are already close to the optimal, and in particular, that the first of the ten ijcai-97 challenges for propositional reasoning and search formulated by selman et al., namely, proving a hard 700 variable random 3-sat formula is unsatisfiable, probably cannot be answered by dp procedure unless something significantly different from branching can be made effective for hard random unsatisfiable 3-sat "," search, constraint satisfaction, automated reasoning, theorem proving, branching, davis-putnam procedure, sat "
2000,search pruning conditions for boolean optimization," this paper proposes new algorithms for the binate covering problem(bcp), a well-known restriction of boolean optimization. binatecovering finds application in many areas of computer science andengineering. in artificial intelligence, bcp can be used for computingminimum-size prime implicants of boolean functions, of interest inautomated reasoning and non-monotonic reasoning. moreover, binatecovering is an essential modeling tool in electronic designautomation. the objectives of the paper are to briefly reviewbranch-and-bound algorithms for bcp, to describe how to applybacktrack search pruning techniques from the boolean satisfiability(sat) domain to bcp, and to illustrate how to strengthen those pruningtechniques by exploiting the actual formulation of bcp. experimental results, obtained on representative instances, indicate that theproposed techniques provide significant performance gains fordifferent classes of instances. "," constraint satisfaction, search "
2000,incremental forward checking for the disjunctive temporal problem," this paper studies algorithms for the disjunctive temporal problem(dtp) a quite general temporal reasoning problem introduced in\cite{stergiou-koubarakis-98}.  this problem involves the satisfaction of a setof constraints represented by disjunctive formulas of the form $x_1-y_1 \leq r_1 \vee x_2 -y_2 \leq r_2 \vee \dots \vee x_k -y_k \leqr_k$.  the paper starts sketching why dtps are potentially very usefulin plan management applications, then analyzes the current solutionsto dtp, and introduces a constraint-satisfaction problem solvingalgorithm where different aspects of current dtp's literature areintegrated.  this basic algorithm is then improved exploiting thequantitative temporal information in the ``distance graph''. using this knowledge an incremental version of the forward checking isobtained and shown to be competitive with current best results. the whole approach allows to understand pros and cons of the currentalgorithms for the dtp and suggests further future developments asdiscussed in the final part of the paper. "," temporal reasoning, constraint satisfaction, planning "
2000,local search on random 2+p-sat," random 2+p-sat interpolates between the polynomial-time problemrandom 2-sat when p = 0 and the np-complete problem random 3-satwhen p = 1.  at some value p = p_0 ~= 0.41, a dramatic changein the structural nature of instances is predicted by statisticalmechanics methods. this is reflected by a change in the typical costscaling for a complete search method tableau, seenexperimentally.  we show empirically the same change of of behaviourin the local search algorithm, novelty+, a recent variantof wsat.  between p = 0.3 and p = 0.5 we see typical costscaling of novelty+ at the 50% satisfiability point apparently change from slow polynomial growth to superpolynomial.that this behaviour is seen in two such different algorithms lendscredibility to the hypothesis that there is change of typical-casecomplexity around p_0.previous work linked the emergence of a backbone of fullyconstrained variables to the cost peak seen in random k-sat.initial experiments suggest that for those instances whose cost wastypical, backbone size is no larger for p = 0.5 than for p = 0.3,implying that this property is not wholly responsible for anytypical cost scaling change.  a preliminary study shows that thebackbones of instances at p = 0.5 are more sensitive to the removal of clauses than those at p = 0.3. this ``backbone fragility'', which has previously been linked to local search cost, may cause the drastic increase. "," search, constraint satisfaction "
