index,CV,KSI,NLP,ES,ML
1988,19,15,15,9,89
1989,83,28,26,36,253
1990,26,11,16,23,90
1991,77,23,33,42,225
1992,18,0,23,6,132
1993,8,2,15,3,108
1994,15,12,12,11,97
1995,39,3,19,6,158
1996,25,9,18,16,148
1997,11,3,20,5,112
1998,19,7,18,4,165
1999,18,3,18,9,132
2000,39,23,59,14,358
2001,25,10,28,5,200
2002,16,10,29,7,205
2003,31,15,32,8,289
2004,14,10,30,5,277
2005,44,10,47,7,306
2006,53,5,25,5,326
2007,47,9,40,5,368
2008,37,8,44,5,342
2009,43,9,55,4,421
2010,54,22,40,0,364
2011,49,7,52,7,327
2012,82,17,108,3,530
2013,79,18,126,6,595
2014,82,10,97,1,634
2015,70,15,121,6,548
2016,72,8,143,1,666
2017,102,25,190,5,962
2018,151,38,239,12,1379
2019,188,65,326,17,1713
