index,CV,KSI,NLP,ES,ML
1993,6,6,12,4,19
1994,22,2,24,2,39
1995,24,8,34,6,68
1996,29,11,40,8,72
1997,27,7,28,0,48
1998,20,15,41,6,72
1999,33,15,49,9,71
2000,135,49,163,66,278
2001,60,25,88,18,167
2002,130,70,166,43,267
2003,131,63,166,28,342
2004,187,81,203,54,399
2005,148,90,174,28,405
2006,152,95,224,60,393
2007,171,97,278,25,489
2008,235,137,363,65,706
2009,331,189,504,71,970
2010,396,268,635,120,1215
2011,669,422,1097,156,2042
2012,966,545,1457,158,3048
2013,1408,765,2221,552,4414
2014,913,569,1406,211,2630
2015,1047,576,1519,211,2965
2016,1814,1025,2615,263,5304
2017,2654,1524,3776,355,7770
2018,3496,1993,5005,375,10363
