index,DL/NN,SL,UL,RL
1988,5,8,0,5
1989,18,17,6,7
1990,5,7,4,7
1991,15,9,7,23
1992,2,10,9,13
1993,7,9,5,7
1994,6,13,2,11
1995,8,15,3,18
1996,5,21,2,14
1997,6,13,4,11
1998,4,16,5,21
1999,3,19,2,12
2000,11,40,15,30
2001,4,28,10,19
2002,3,24,11,23
2003,19,41,8,17
2004,16,37,13,14
2005,9,50,13,16
2006,11,51,14,23
2007,8,59,18,15
2008,12,51,11,24
2009,25,51,14,21
2010,20,45,19,20
2011,18,45,15,18
2012,27,82,23,30
2013,39,90,19,29
2014,52,84,19,38
2015,42,77,17,32
2016,75,78,17,42
2017,117,94,32,64
2018,183,117,30,98
2019,216,147,35,130
