index,DL/NN,SL,UL,RL
1993,3,0,1,4
1994,6,5,0,4
1995,5,11,1,8
1996,5,11,3,7
1997,76,51,18,92
1998,33,35,7,52
1999,59,56,14,99
2000,77,102,21,159
2001,49,56,6,80
2002,60,86,14,169
2003,53,71,21,103
2004,137,136,45,184
2005,104,140,45,194
2006,79,122,33,237
2007,146,190,44,298
2008,132,166,52,242
2009,114,163,40,237
2010,160,266,72,306
2011,248,332,92,450
2012,291,528,100,569
2013,394,678,138,762
2014,300,497,125,592
2015,393,604,167,515
2016,808,849,261,964
2017,1147,978,293,1169
2018,1251,897,202,1294
