Year,Title
1988,using a generalization hierarchy to learn from examples.
1988,tuning rule-based systems to their environments.
1988,on asking the right questions.
1988,concept simplification and prediction accuracy.
1988,learning graph models of shape.
1988,learning categorical decision criteria in biomedical domains.
1988,conceptual clumping of binary vectors with occam's razor.
1988,autoclass: a bayesian classification system.
1988,incremental multiple concept learning using experiments.
1988,trading off simplicity and coverage in incremental concept learning.
1988,deferred commitment in unimem: waiting to learn.
1988,experiments on the costs and benefits of windowing in id3.
1988,improved decision trees: a generalized version of id3.
1988,id5: an incremental id3.
1988,using weighted networks to represent classification knowledge in noisy domains.
1988,an empirical comparison of genetic and decision-tree classifiers.
1988,population size in classifier systems.
1988,representation and hidden bias: gray vs. binary coding for genetic algorithms.
1988,classifier systems with hamming weights.
1988,midgard: a genetic approach to adaptive load balancing for distributed systems.
1988,some interesting properties of a connectionist inductive learning system.
1988,competitive reinforcement learning.
1988,connectionist learning of expert backgammon evaluations.
1988,building and using mental models in a sensory-motor domain.
1988,reasoning about operationality for explanation-based learning.
1988,boundaries of operationality.
1988,on the tractability of learning from incomplete theories.
1988,active explanation reduction: an approach to the multiple explanations problem.
1988,generalizing number and learning from multiple examples in explanation based learning.
1988,generalizing the order of operators in macro-operators.
1988,using experience-based learning in game playing.
1988,integrated learning with incorrect and incomplete theories.
1988,an approach based on integrated learning to generating stories.
1988,a knowledge intensive approach to concept induction.
1988,learning to program by examining and modifying cases.
1988,theory discovery and the hypothesis language.
1988,machine invention of first order predicates by inverting resolution.
1988,"the interdependencies of theory formation, revision, and experimentation."
1988,a hill-climbing approach to machine discovery.
1988,reduction: a practical mechanism of searching for regularity in data.
1988,extending the valiant learning model.
1988,learning systems of first-order rules.
1988,two new frameworks for learning.
1988,hypothesis filtering: a practical approach to reliable learning.
1988,diffy-s: learning robot operator schemata from examples.
1988,experimental results from an evaluation of algorithms that learn to control dynamic systems.
1988,utilizing experience for improving the tactical manager.
1988,some chunks are expensive.
1988,the role of forgetting in learning.
1989,unifying themes in empirical and explanation-based learning.
1989,induction over the unexplained: integrated learning of concepts with both explainable and conventional aspects.
1989,conceptual clustering of explanations.
1989,a tight integration of deductive learning.
1989,multi-strategy learning in nonhomongeneous domain theories.
1989,a description of preference criterion in constructive learning: a discussion of basis issues.
1989,"combining case-based reasoning, explanation-based learning, and learning form instruction."
1989,deduction in top-down inductive learning.
1989,one-sided algorithms for integrating empirical and explanation-based learning.
1989,combining empirical and analytical learning with version spaces.
1989,finding new rules for incomplete theories: explicit biases for induction with contextual information.
1989,learning from plausible explanations.
1989,augmenting domain theory for explanation-based generalization.
1989,explanation based learning as constrained search.
1989,reducing search and learning goal preferences.
1989,adaptation-based explanation: explanations as cases.
1989,a retrieval model using feature selection.
1989,improving decision-making on the basis of experience.
1989,explanation-based acceleration of similarity-based learning.
1989,knowledge acquisition planning: results and prospects.
1989,"""learning by instruction"" in connectionist systems."
1989,integrating learning in a neural network.
1989,explanation-based learning with week domain theories.
1989,using domain knowledge to improve inductive learning algorithms for diagnosis.
1989,a framework for improving efficiency and accuracy.
1989,error correction in constructive induction.
1989,improving explanation-based indexing with empirical learning.
1989,a schema for an integrated learning system.
1989,combining explanation-based learning and artificial neural networks.
1989,learning classification rules using bayes.
1989,new empirical learning mechanisms perform significantly better in real life domains.
1989,inductive learning with bct.
1989,what good are experiments?.
1989,an experimental comparison of human and machine learning formalisms.
1989,two algorithms that learn dnf by discovering relevant features.
1989,limitations on inductive learning.
1989,the induction of probabilistic rule sets - the itrule algorithm.
1989,empirical substructure discovery.
1989,learning the behavior of dynamical systems form examples.
1989,experiments in robot learning.
1989,induction of decision trees from inconclusive data.
1989,knowledge intensive induction.
